Meat_Category,year,month,day,VALUE,Avg_CPI,Avg_CPI_Gas
Beef,2017,1,1,15.466,1.8,161.7
Beef,2017,2,1,15.607999999999999,1.8,153.7
Beef,2017,3,1,16.598,1.7,152.0
Beef,2017,4,1,14.508,1.6,166.5
Beef,2017,5,1,16.46,1.6,159.8
Beef,2017,6,1,16.736,1.5,153.9
Beef,2017,7,1,17.032,1.6,154.2
Beef,2017,8,1,16.374000000000002,1.7,158.7
Beef,2017,9,1,16.389999999999997,1.5,168.1
Beef,2017,10,1,14.138,1.5,162.7
Beef,2017,11,1,15.378,1.7,174.7
Beef,2017,12,1,13.278,1.7,168.9
Beef,2018,1,1,14.780000000000001,1.8,174.3
Beef,2018,2,1,15.963999999999999,1.9,173.0
Beef,2018,3,1,15.219999999999999,1.8,178.0
Beef,2018,4,1,14.882,1.8,190.1
Beef,2018,5,1,15.65,1.8,196.4
Beef,2018,6,1,15.280000000000001,1.8,191.8
Beef,2018,7,1,16.522,1.8,193.3
Beef,2018,8,1,15.157999999999998,1.9,190.3
Beef,2018,9,1,15.678,1.8,188.3
Beef,2018,10,1,14.634,1.9,182.3
Beef,2018,11,1,15.374,1.8,165.2
Beef,2018,12,1,13.51,1.8,154.4
Beef,2019,1,1,15.666,1.7,149.6
Beef,2019,2,1,15.835999999999999,1.9,152.4
Beef,2019,3,1,16.735999999999997,2.0,170.1
Beef,2019,4,1,15.058000000000002,1.9,187.1
Beef,2019,5,1,16.946,2.0,189.2
Beef,2019,6,1,16.374,2.0,174.1
Beef,2019,7,1,15.709999999999999,2.0,179.9
Beef,2019,8,1,15.952000000000002,1.9,170.9
Beef,2019,9,1,15.372,1.9,169.5
Beef,2019,10,1,14.412,2.0,170.1
Beef,2019,11,1,15.818000000000001,2.1,166.7
Beef,2019,12,1,14.306000000000001,2.0,165.8
Beef,2020,1,1,16.372,2.0,166.4
Beef,2020,2,1,16.61,1.9,163.1
Beef,2020,3,1,17.008000000000003,1.9,134.0
Beef,2020,4,1,15.818000000000001,1.9,113.6
Beef,2020,5,1,19.062,1.8,132.8
Beef,2020,6,1,21.552,1.9,146.7
Beef,2020,7,1,18.53,1.8,153.1
Beef,2020,8,1,18.088,1.8,151.9
Beef,2020,9,1,15.712,2.0,151.3
Beef,2020,10,1,15.524000000000001,2.1,149.0
Beef,2020,11,1,17.234,2.0,146.8
Beef,2020,12,1,15.09,2.0,151.7
Beef,2021,1,1,17.574,2.1,160.9
Beef,2021,2,1,16.688,2.0,171.3
Beef,2021,3,1,17.232,2.1,181.3
Beef,2021,4,1,17.466,2.2,184.6
Beef,2021,5,1,18.082,2.4,190.5
Beef,2021,6,1,18.468,2.5,193.6
Beef,2021,7,1,19.162,2.8,200.4
Beef,2021,8,1,19.582,2.9,201.3
Beef,2021,9,1,19.256,3.0,201.0
Beef,2021,10,1,18.241999999999997,2.9,211.1
Beef,2021,11,1,20.630000000000003,2.9,210.8
Beef,2021,12,1,17.624000000000002,3.3,202.2
Beef,2022,1,1,20.72,3.6,211.9
Beef,2022,2,1,21.052,3.9,226.6
Beef,2022,3,1,21.274,4.2,253.4
Beef,2022,4,1,20.282,4.7,251.7
Beef,2022,5,1,19.594,5.0,281.9
Beef,2022,6,1,19.362000000000002,5.1,299.4
Beef,2022,7,1,19.448,5.3,271.8
Beef,2022,8,1,19.612000000000002,5.1,245.8
Beef,2022,9,1,20.726,5.1,227.6
Beef,2022,10,1,17.880000000000003,5.3,248.6
Beef,2022,11,1,19.65,5.3,239.6
Beef,2022,12,1,17.294,5.2,208.3
Beef,2023,1,1,20.552,5.1,218.1
Chicken,2017,1,1,7.862500000000001,1.8,161.7
Chicken,2017,2,1,7.827500000000001,1.8,153.7
Chicken,2017,3,1,7.7124999999999995,1.7,152.0
Chicken,2017,4,1,8.18,1.6,166.5
Chicken,2017,5,1,8.1925,1.6,159.8
Chicken,2017,6,1,7.705,1.5,153.9
Chicken,2017,7,1,8.0875,1.6,154.2
Chicken,2017,8,1,8.2475,1.7,158.7
Chicken,2017,9,1,8.557500000000001,1.5,168.1
Chicken,2017,10,1,8.1325,1.5,162.7
Chicken,2017,11,1,8.135,1.7,174.7
Chicken,2017,12,1,7.984999999999999,1.7,168.9
Chicken,2018,1,1,7.9025,1.8,174.3
Chicken,2018,2,1,7.817500000000001,1.9,173.0
Chicken,2018,3,1,7.8025,1.8,178.0
Chicken,2018,4,1,7.8774999999999995,1.8,190.1
Chicken,2018,5,1,7.7125,1.8,196.4
Chicken,2018,6,1,7.7575,1.8,191.8
Chicken,2018,7,1,7.812499999999999,1.8,193.3
Chicken,2018,8,1,8.1675,1.9,190.3
Chicken,2018,9,1,8.545,1.8,188.3
Chicken,2018,10,1,8.3025,1.9,182.3
Chicken,2018,11,1,8.7025,1.8,165.2
Chicken,2018,12,1,8.435,1.8,154.4
Chicken,2019,1,1,8.205,1.7,149.6
Chicken,2019,2,1,8.08,1.9,152.4
Chicken,2019,3,1,8.0425,2.0,170.1
Chicken,2019,4,1,8.182500000000001,1.9,187.1
Chicken,2019,5,1,8.0075,2.0,189.2
Chicken,2019,6,1,7.975,2.0,174.1
Chicken,2019,7,1,8.15,2.0,179.9
Chicken,2019,8,1,7.85,1.9,170.9
Chicken,2019,9,1,8.3275,1.9,169.5
Chicken,2019,10,1,7.955,2.0,170.1
Chicken,2019,11,1,8.4075,2.1,166.7
Chicken,2019,12,1,8.040000000000001,2.0,165.8
Chicken,2020,1,1,8.3,2.0,166.4
Chicken,2020,2,1,8.635,1.9,163.1
Chicken,2020,3,1,8.39,1.9,134.0
Chicken,2020,4,1,8.745,1.9,113.6
Chicken,2020,5,1,7.995,1.8,132.8
Chicken,2020,6,1,8.1325,1.9,146.7
Chicken,2020,7,1,8.629999999999999,1.8,153.1
Chicken,2020,8,1,8.3325,1.8,151.9
Chicken,2020,9,1,8.18,2.0,151.3
Chicken,2020,10,1,8.315,2.1,149.0
Chicken,2020,11,1,8.584999999999999,2.0,146.8
Chicken,2020,12,1,8.5525,2.0,151.7
Chicken,2021,1,1,8.1725,2.1,160.9
Chicken,2021,2,1,8.6525,2.0,171.3
Chicken,2021,3,1,7.8475,2.1,181.3
Chicken,2021,4,1,8.78,2.2,184.6
Chicken,2021,5,1,8.2275,2.4,190.5
Chicken,2021,6,1,8.459999999999999,2.5,193.6
Chicken,2021,7,1,8.6675,2.8,200.4
Chicken,2021,8,1,9.057500000000001,2.9,201.3
Chicken,2021,9,1,8.6925,3.0,201.0
Chicken,2021,10,1,9.254999999999999,2.9,211.1
Chicken,2021,11,1,8.9475,2.9,210.8
Chicken,2021,12,1,9.51,3.3,202.2
Chicken,2022,1,1,9.235,3.6,211.9
Chicken,2022,2,1,9.1075,3.9,226.6
Chicken,2022,3,1,8.9175,4.2,253.4
Chicken,2022,4,1,9.9525,4.7,251.7
Chicken,2022,5,1,9.4625,5.0,281.9
Chicken,2022,6,1,9.2625,5.1,299.4
Chicken,2022,7,1,9.94,5.3,271.8
Chicken,2022,8,1,10.005,5.1,245.8
Chicken,2022,9,1,10.0025,5.1,227.6
Chicken,2022,10,1,9.5775,5.3,248.6
Chicken,2022,11,1,9.615,5.3,239.6
Chicken,2022,12,1,9.727500000000001,5.2,208.3
Chicken,2023,1,1,9.6775,5.1,218.1
Pork,2017,1,1,6.489999999999999,1.8,161.7
Pork,2017,2,1,6.616666666666667,1.8,153.7
Pork,2017,3,1,6.756666666666667,1.7,152.0
Pork,2017,4,1,7.286666666666666,1.6,166.5
Pork,2017,5,1,7.996666666666667,1.6,159.8
Pork,2017,6,1,7.510000000000001,1.5,153.9
Pork,2017,7,1,7.966666666666666,1.6,154.2
Pork,2017,8,1,7.613333333333333,1.7,158.7
Pork,2017,9,1,7.326666666666667,1.5,168.1
Pork,2017,10,1,6.52,1.5,162.7
Pork,2017,11,1,6.456666666666666,1.7,174.7
Pork,2017,12,1,7.32,1.7,168.9
Pork,2018,1,1,6.419999999999999,1.8,174.3
Pork,2018,2,1,6.68,1.9,173.0
Pork,2018,3,1,7.4366666666666665,1.8,178.0
Pork,2018,4,1,7.1433333333333335,1.8,190.1
Pork,2018,5,1,6.489999999999999,1.8,196.4
Pork,2018,6,1,7.376666666666666,1.8,191.8
Pork,2018,7,1,7.010000000000001,1.8,193.3
Pork,2018,8,1,7.236666666666667,1.9,190.3
Pork,2018,9,1,7.216666666666666,1.8,188.3
Pork,2018,10,1,6.636666666666667,1.9,182.3
Pork,2018,11,1,6.986666666666667,1.8,165.2
Pork,2018,12,1,8.306666666666667,1.8,154.4
Pork,2019,1,1,6.613333333333333,1.7,149.6
Pork,2019,2,1,6.793333333333333,1.9,152.4
Pork,2019,3,1,7.276666666666667,2.0,170.1
Pork,2019,4,1,7.983333333333333,1.9,187.1
Pork,2019,5,1,7.573333333333333,2.0,189.2
Pork,2019,6,1,8.043333333333333,2.0,174.1
Pork,2019,7,1,8.406666666666666,2.0,179.9
Pork,2019,8,1,8.616666666666667,1.9,170.9
Pork,2019,9,1,7.56,1.9,169.5
Pork,2019,10,1,7.013333333333333,2.0,170.1
Pork,2019,11,1,7.576666666666665,2.1,166.7
Pork,2019,12,1,7.983333333333333,2.0,165.8
Pork,2020,1,1,7.383333333333333,2.0,166.4
Pork,2020,2,1,6.886666666666667,1.9,163.1
Pork,2020,3,1,8.086666666666666,1.9,134.0
Pork,2020,4,1,8.533333333333333,1.9,113.6
Pork,2020,5,1,7.936666666666667,1.8,132.8
Pork,2020,6,1,8.406666666666666,1.9,146.7
Pork,2020,7,1,7.846666666666667,1.8,153.1
Pork,2020,8,1,7.633333333333333,1.8,151.9
Pork,2020,9,1,7.763333333333333,2.0,151.3
Pork,2020,10,1,7.81,2.1,149.0
Pork,2020,11,1,7.573333333333333,2.0,146.8
Pork,2020,12,1,8.103333333333333,2.0,151.7
Pork,2021,1,1,7.613333333333334,2.1,160.9
Pork,2021,2,1,7.076666666666667,2.0,171.3
Pork,2021,3,1,7.5633333333333335,2.1,181.3
Pork,2021,4,1,8.06,2.2,184.6
Pork,2021,5,1,8.383333333333333,2.4,190.5
Pork,2021,6,1,8.883333333333333,2.5,193.6
Pork,2021,7,1,8.993333333333332,2.8,200.4
Pork,2021,8,1,9.166666666666666,2.9,201.3
Pork,2021,9,1,9.006666666666668,3.0,201.0
Pork,2021,10,1,9.299999999999999,2.9,211.1
Pork,2021,11,1,9.116666666666667,2.9,210.8
Pork,2021,12,1,8.986666666666666,3.3,202.2
Pork,2022,1,1,8.49,3.6,211.9
Pork,2022,2,1,8.096666666666666,3.9,226.6
Pork,2022,3,1,8.49,4.2,253.4
Pork,2022,4,1,9.356666666666667,4.7,251.7
Pork,2022,5,1,9.236666666666666,5.0,281.9
Pork,2022,6,1,9.16,5.1,299.4
Pork,2022,7,1,8.846666666666666,5.3,271.8
Pork,2022,8,1,8.633333333333333,5.1,245.8
Pork,2022,9,1,8.72,5.1,227.6
Pork,2022,10,1,8.123333333333333,5.3,248.6
Pork,2022,11,1,8.046666666666667,5.3,239.6
Pork,2022,12,1,8.496666666666668,5.2,208.3
Pork,2023,1,1,7.6000000000000005,5.1,218.1
Beef,2023,2,1,19.06781944253761,5.1,218.1
Beef,2023,3,1,20.080458898441048,5.1,218.1
Beef,2023,4,1,18.980332525354264,5.1,218.1
Beef,2023,5,1,19.27067099507079,5.1,218.1
Beef,2023,6,1,18.72709745174639,5.1,218.1
Beef,2023,7,1,19.664200053923707,5.1,218.1
Beef,2023,8,1,18.61613250248298,5.1,218.1
Beef,2023,9,1,19.220858003225352,5.1,218.1
Beef,2023,10,1,18.66187227299887,5.1,218.1
Beef,2023,11,1,19.399539588289887,5.1,218.1
Beef,2023,12,1,18.437615268840784,5.1,218.1
Beef,2024,1,1,19.179994035157264,5.1,218.1
Chicken,2023,2,1,9.428432528372033,5.1,218.1
Chicken,2023,3,1,9.426986327587258,5.1,218.1
Chicken,2023,4,1,9.614481196921515,5.1,218.1
Chicken,2023,5,1,9.60650411371432,5.1,218.1
Chicken,2023,6,1,9.381486341176632,5.1,218.1
Chicken,2023,7,1,9.303666367498586,5.1,218.1
Chicken,2023,8,1,9.477118438759769,5.1,218.1
Chicken,2023,9,1,9.53978210244489,5.1,218.1
Chicken,2023,10,1,9.346950451990708,5.1,218.1
Chicken,2023,11,1,9.210127957467082,5.1,218.1
Chicken,2023,12,1,9.344287471273779,5.1,218.1
Chicken,2024,1,1,9.464006964708679,5.1,218.1
Pork,2023,2,1,7.518745864455073,5.1,218.1
Pork,2023,3,1,8.086334750400514,5.1,218.1
Pork,2023,4,1,7.891658678583639,5.1,218.1
Pork,2023,5,1,7.754289153946477,5.1,218.1
Pork,2023,6,1,8.133112619519707,5.1,218.1
Pork,2023,7,1,7.817067278083575,5.1,218.1
Pork,2023,8,1,7.901078501915746,5.1,218.1
Pork,2023,9,1,8.048258781866187,5.1,218.1
Pork,2023,10,1,7.791403102628409,5.1,218.1
Pork,2023,11,1,7.962581803106795,5.1,218.1
Pork,2023,12,1,7.940701661893115,5.1,218.1
Pork,2024,1,1,7.806016161853217,5.1,218.1
